name,rating,lama_pemakaian,date,review,source
sunny dahye,4,1 Week - 1 Month,2024-07-15T04:25:02.563Z,Warna tint glossy yang cakep buat daily suka sama glassy finish nya 🌸 warna seleksi nya juga bagus2 lumayan long wearing dan packaging is super cute too! ,review-ios
Indhira Nurcahya,4,1 Week - 1 Month,2024-07-18T11:10:13.783Z,Menurutku ini bagus buat 'no make up' make up look/ pengen hasil lips make up nya MLBB. Krn shade ini pigmentasinya bener² sheer tapi bikin bibir agak 'plumpy'??. Cuma kalo habis minum/makan ya hilang warnanya jadi harus sering reapply. Tapi buat harga segini ini worth to buy bangett  ,soco-web-mobile
josephine chandra,4.4,Less than 1 Week,2024-07-14T14:59:41.539Z,"warnanya bagus bagus + suka banget sama packaging nya, tips buat pakai glow tint ini pas di apply ke bibir tunggu 30 detik - 1 menit jdi glow tint nya ga bakal transfer. pas di apply menurut ku rasanya ngelembabin dan wangi nya ga nyengat",review-android
Naya _,4.4,1 Week - 1 Month,2024-07-12T10:35:35.613Z,"So good! Pake ini ga bikin bibir kering sama sekali, the colour's so pretty, shade ini termasuk yang natural sih. Hasilnya glossy dan lumayan tahan lama, tapi ga bisa nge-cover warna bibir, warnanya baru lebih keluar kalo pake base yang nude, tapi worth the money pol, would repurchase this!",review-android
Melda Vinola,4.6,Less than 1 Week,2024-07-10T22:24:39.070Z,harus coba siii aku aja mau beli warna yg lain nya lagi udah cantik2 warna nya mana murah pula tahan lama juga pokok nya bagus banget hey jadi penasaran sama warna warna yg lain,review-android
shafira saudah,5,Less than 1 Week,2024-07-02T08:55:00.531Z,"cantik banget warnanya, glowynya juga bagus banget, pigmentasinya ok banget, ga bikin bibir kering sama sekali, ini setelah ngeset jadi transferproof, waktu diusap pake tangan cuma glowynya aja yg ilang, warnanya mah ttp nempel, baguss",review-ios
kenzie soco,5,1 - 3 Months,2024-07-04T05:11:13.620Z,"pas baru tau BNB ngeluarin product baru dan udah ada di sociolla, aku langsung beli. SUKAAAAA BANGET SAMA PRODUKNYA. Stainnya mantap, glossy banget, bikin bibir Lembab banget.",review-android
indah khirana,4.4,Less than 1 Week,2024-07-20T06:17:37.984Z,"honestly, ini liptint nya ringan bngt bngt, pigmentnya oke, tpi aku kurang suka tekstyrnya karena menurut aku ini agak minyak lengket gitu. tapi ini bagus banget kok  stainnya cakep, tahan lama",review-android
Nadya Aretha,4.6,1 Week - 1 Month,2024-07-20T03:12:11.556Z,"Very pretty gloss!, tapi karena ini teksturnya semi lipgloss jadi ga tahan lama. Dipake minum/makan ilang but still has a bit stain. Ada wangi kayak manis-manisnya",review-ios
Kirey Lirungan,5,1 Week - 1 Month,2024-07-19T04:57:13.607Z,"Baguss banget! Menurutku ini bisa jdi alternative dior lip tint! Murah, tahan lama, wanginya enak, warnanya juga oke banget! Udah masuk ke list repurchase ku! ",review-ios
Kezia Methami,4.4,1 Week - 1 Month,2024-07-16T10:18:02.412Z,"what a good lippies, beneran ngebuat lips kelihatan sehat and  hydrated, tapi setelah beberapa saat agak drying sih tapi bisa ditimpa lagi aja, warnanya cakep puoll👍🏻",review-android
Cinta NS4499,4.8,1 Week - 1 Month,2024-07-16T09:23:48.481Z,"lip tint nya bagus bangett🤩udah nge stain nya lama, warna nya cakep pwolll, hasil nya juga cakep sangatt, pokok nya cobain aja soalnya bagus banget dehh!!🤩",review-android
Naadiyah Hanniyah,4.8,Less than 1 Week,2024-07-16T08:36:59.417Z,"Warnanya super cantik jadi mau beli shade yang lainnya karena bagus dan cantik bgt untuk cool undertone kaya aku, karena glossy jadi ngerasa kaya ada minyak tp masih bisa di toleransi soalnya ringan",review-android
Alysha Farrell,4.6,Less than 1 Week,2024-07-16T03:03:16.394Z,"Bagus banget dan cantik banget!!!! Stainnya juga juara bener2 transfer and smudgeproof. Warnanya bagus poll dan glowing banget, a must have glow tint buat kemana2😍",review-android
nailah izzati,5,1 Week - 1 Month,2024-07-15T14:03:30.776Z,"enak banget, ga bikin kering dan warna nya cantik banget. aku pilih shade 04 dan itu warna nya pas banget dan wangi nya enak DANNN PACKAGING NYA CANTIK BANGET. ",review-ios
Fira Hasna,4.8,1 Week - 1 Month,2024-07-15T07:51:52.929Z,"ini jadi favorite aku banget sihh fiks dari warnanya. dia glow tint tp stain nya tuh ada, udah gitu packagingnya lucukk. Wort to buy dehh cobain gemess",review-android
Fhyrshany ibrah,4.6,Less than 1 Week,2024-07-15T02:44:57.205Z,worth the priceee dia tekstru yang gel tapi ga bikin bibir jelek even di bibir gelap jadi pinter-pinter mix and match aja sih. kurangnya di shadesnya kurang banyak,review-ios
Ari Ara,5,Less than 1 Week,2024-07-14T09:45:49.031Z,"suka banget bagus warna nya murah juga efisien ringan jugaa , travel size juga tapi isinya banyakk bisa dibawa ke mana-mana oke banget sii wajib dicoba",review-android
gisell michie,5,1 Week - 1 Month,2024-07-14T09:43:29.833Z,"ringan banget trus warna nya bagus dan cocok di bibir sy, kalau di hapus masih ada sedikit warna nya kalo di apply warnanya ga keliatan tapi makin lama makin pink",review-ios
febriend syukur,5,1 Week - 1 Month,2024-07-14T08:57:17.733Z,"super natural dan cocok buat daily, ringan dan stainnya ada banget cuma glossnya aja yg ilang
kayaknya bakalan beli lagi tapi yang warna 01 soalnya penasaran 🫶🏻🫶🏻",review-ios
Theodora Herzl,5,Less than 1 Week,2024-07-12T12:55:17.181Z,"pertama tertarik karena package nya yang lucuuu, tp waktu dicoba emang sebagus ituuu, produk barenbliss emang selalu oke dari dulu, mau coba produk lainnyaaa",review-android
Hazna Hamida,4.8,Less than 1 Week,2024-07-12T11:30:10.533Z,"Warnanya lucu tapi buat bibir two toned lumayan nutupin cuman agak tricky aja ya, mungkin bisa lip prep dulu atau di build up ajaa, so far transferproof sih",review-android
